Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,1510.8,1520.76,1487.0,1501.97,1501.97,6954500
2019-01-02,1465.2,1553.36,1460.93,1539.13,1539.13,7983100
2019-01-03,1520.01,1538.0,1497.11,1500.28,1500.28,6975600
2019-01-04,1530.0,1594.0,1518.31,1575.39,1575.39,9182600
2019-01-07,1602.31,1634.56,1589.19,1629.51,1629.51,7993200
2019-01-08,1664.69,1676.61,1616.61,1656.58,1656.58,8881400
2019-01-09,1652.98,1667.8,1641.4,1659.42,1659.42,6348800
2019-01-10,1641.01,1663.25,1621.62,1656.22,1656.22,6507700
2019-01-11,1640.55,1660.29,1636.22,1640.56,1640.56,4686200
2019-01-14,1615.0,1648.2,1595.15,1617.21,1617.21,6005900
2019-01-15,1632.0,1675.16,1626.01,1674.56,1674.56,5998500
2019-01-16,1684.22,1705.0,1675.88,1683.78,1683.78,6366900
2019-01-17,1680.0,1700.17,1677.5,1693.22,1693.22,4208900
2019-01-18,1712.0,1716.2,1691.54,1696.2,1696.2,6020500
2019-01-22,1681.0,1681.87,1610.2,1632.17,1632.17,6416800
2019-01-23,1656.0,1657.43,1612.0,1640.02,1640.02,5225200
2019-01-24,1641.07,1657.26,1631.78,1654.93,1654.93,4089900
2019-01-25,1670.5,1683.48,1661.61,1670.57,1670.57,4945900
2019-01-28,1643.59,1645.0,1614.09,1637.89,1637.89,4837700
2019-01-29,1631.27,1632.38,1590.72,1593.88,1593.88,4632800
2019-01-30,1623.0,1676.95,1619.68,1670.43,1670.43,5783800
2019-01-31,1692.85,1736.41,1679.08,1718.73,1718.73,10910300
2019-02-01,1638.88,1673.06,1622.01,1626.23,1626.23,11506200
2019-02-04,1623.0,1649.63,1613.5,1633.31,1633.31,4929100
2019-02-05,1643.34,1665.26,1642.5,1658.81,1658.81,4453100
2019-02-06,1670.75,1672.26,1633.34,1640.26,1640.26,3939900
2019-02-07,1625.0,1625.54,1592.91,1614.37,1614.37,4626600
2019-02-08,1586.0,1588.59,1566.76,1588.22,1588.22,5657500
2019-02-11,1600.98,1609.29,1586.0,1591.0,1591.0,3317300
2019-02-12,1604.0,1639.4,1598.88,1638.01,1638.01,4858600
2019-02-13,1647.0,1656.38,1637.11,1640.0,1640.0,3560300
2019-02-14,1624.5,1637.9,1606.06,1622.65,1622.65,4120500
2019-02-15,1627.86,1628.91,1604.5,1607.95,1607.95,4343900
2019-02-19,1601.0,1634.0,1600.56,1627.58,1627.58,3681700
2019-02-20,1630.0,1634.93,1610.12,1622.1,1622.1,3337600
2019-02-21,1619.85,1623.56,1600.91,1619.44,1619.44,3483400
2019-02-22,1623.5,1634.94,1621.17,1631.56,1631.56,3096200
2019-02-25,1641.45,1654.6,1630.39,1633.0,1633.0,3184500
2019-02-26,1625.98,1639.99,1616.13,1636.4,1636.4,2665800
2019-02-27,1628.18,1641.81,1615.1,1641.09,1641.09,3148800
2019-02-28,1635.25,1651.77,1633.83,1639.83,1639.83,3025900
2019-03-01,1655.13,1674.26,1651.0,1671.73,1671.73,4974900
2019-03-04,1685.0,1709.43,1674.36,1696.17,1696.17,6167400
2019-03-05,1702.95,1707.8,1689.01,1692.43,1692.43,3681500
2019-03-06,1695.97,1697.75,1668.28,1668.95,1668.95,3996000
2019-03-07,1667.37,1669.75,1620.51,1625.95,1625.95,4957000
2019-03-08,1604.01,1622.72,1586.57,1620.8,1620.8,4667000
2019-03-11,1626.12,1672.29,1626.01,1670.62,1670.62,3876400
2019-03-12,1669.0,1684.27,1660.98,1673.1,1673.1,3614500
2019-03-13,1683.0,1700.0,1679.35,1690.81,1690.81,3552000
2019-03-14,1691.2,1702.0,1684.34,1686.22,1686.22,2946600
2019-03-15,1703.0,1718.8,1693.13,1712.36,1712.36,7550900
2019-03-18,1712.7,1750.0,1712.63,1742.15,1742.15,5429100
2019-03-19,1753.51,1784.16,1753.51,1761.85,1761.85,6364200
2019-03-20,1769.94,1799.5,1767.03,1797.27,1797.27,6265600
2019-03-21,1796.26,1823.75,1787.28,1819.26,1819.26,5767800
2019-03-22,1810.17,1818.98,1763.11,1764.77,1764.77,6363000
2019-03-25,1757.79,1782.68,1747.5,1774.26,1774.26,5103800
2019-03-26,1793.0,1805.77,1773.36,1783.76,1783.76,4865900
2019-03-27,1784.13,1787.5,1745.68,1765.7,1765.7,4324800
2019-03-28,1770.0,1777.93,1753.47,1773.42,1773.42,3043000
2019-03-29,1786.58,1792.86,1776.63,1780.75,1780.75,3320800
2019-04-01,1800.11,1815.67,1798.73,1814.19,1814.19,4238800
2019-04-02,1811.02,1820.0,1805.12,1813.98,1813.98,3448100
2019-04-03,1826.72,1830.0,1809.62,1820.7,1820.7,3926100
2019-04-04,1820.65,1828.75,1804.2,1818.86,1818.86,3623900
2019-04-05,1829.0,1838.58,1825.19,1837.28,1837.28,3640500
2019-04-08,1833.23,1850.2,1825.11,1849.86,1849.86,3752800
2019-04-09,1845.49,1853.09,1831.78,1835.84,1835.84,3714400
2019-04-10,1841.0,1848.0,1828.81,1847.33,1847.33,2964000
2019-04-11,1848.7,1849.95,1840.31,1844.07,1844.07,2654800
2019-04-12,1848.4,1851.5,1841.3,1843.06,1843.06,3114400
2019-04-15,1842.0,1846.85,1818.9,1844.87,1844.87,3724400
2019-04-16,1851.35,1869.77,1848.0,1863.04,1863.04,3044600
2019-04-17,1872.99,1876.47,1860.44,1864.82,1864.82,2893500
2019-04-18,1868.79,1870.82,1859.48,1861.69,1861.69,2749900
2019-04-22,1855.4,1888.42,1845.64,1887.31,1887.31,3373800
2019-04-23,1891.2,1929.26,1889.58,1923.77,1923.77,4640400
2019-04-24,1925.0,1929.69,1898.16,1901.75,1901.75,3675800
2019-04-25,1917.0,1922.45,1900.31,1902.25,1902.25,6099100
2019-04-26,1929.0,1951.0,1898.0,1950.63,1950.63,8432600
2019-04-29,1949.0,1956.34,1934.09,1938.43,1938.43,4021300
2019-04-30,1930.1,1935.71,1906.95,1926.52,1926.52,3506000
2019-05-01,1933.09,1943.64,1910.55,1911.52,1911.52,3117000
2019-05-02,1913.33,1921.55,1881.87,1900.82,1900.82,3962900
2019-05-03,1949.0,1964.4,1936.0,1962.46,1962.46,6381600
2019-05-06,1917.98,1959.0,1910.5,1950.55,1950.55,5417800
2019-05-07,1939.99,1949.1,1903.38,1921.0,1921.0,5902100
2019-05-08,1918.87,1935.37,1910.0,1917.77,1917.77,4078600
2019-05-09,1900.0,1909.4,1876.0,1899.87,1899.87,5308300
2019-05-10,1898.0,1903.79,1856.0,1889.98,1889.98,5718000
2019-05-13,1836.56,1846.54,1818.0,1822.68,1822.68,5783400
2019-05-14,1839.5,1852.44,1815.75,1840.12,1840.12,4629100
2019-05-15,1827.95,1874.43,1823.0,1871.15,1871.15,4692600
2019-05-16,1885.94,1917.51,1882.29,1907.57,1907.57,4707800
2019-05-17,1893.05,1910.53,1867.33,1869.0,1869.0,4736600
2019-05-20,1852.69,1867.78,1835.54,1858.97,1858.97,3798200
2019-05-21,1874.79,1879.0,1846.0,1857.52,1857.52,4005100
2019-05-22,1851.78,1871.49,1851.0,1859.68,1859.68,2936600
2019-05-23,1836.59,1844.0,1804.2,1815.48,1815.48,4424300
2019-05-24,1835.89,1841.76,1817.85,1823.28,1823.28,3369700
2019-05-28,1832.75,1849.27,1827.35,1836.43,1836.43,3200000
2019-05-29,1823.12,1830.0,1807.53,1819.19,1819.19,4279000
2019-05-30,1825.49,1829.47,1807.83,1816.32,1816.32,3146900
2019-05-31,1790.01,1795.59,1772.7,1775.07,1775.07,4618800
2019-06-03,1760.01,1766.29,1672.0,1692.69,1692.69,9098700
2019-06-04,1699.24,1730.82,1680.89,1729.56,1729.56,5679100
2019-06-05,1749.6,1752.0,1715.25,1738.5,1738.5,4239800
2019-06-06,1737.71,1760.0,1726.13,1754.36,1754.36,3689300
2019-06-07,1763.7,1806.25,1759.49,1804.03,1804.03,4808200
2019-06-10,1822.0,1884.87,1818.0,1860.63,1860.63,5371000
2019-06-11,1883.25,1893.7,1858.0,1863.7,1863.7,4042700
2019-06-12,1853.98,1865.0,1844.38,1855.32,1855.32,2678300
2019-06-13,1866.72,1883.09,1862.22,1870.3,1870.3,2795800
2019-06-14,1864.0,1876.0,1859.0,1869.67,1869.67,2851200
2019-06-17,1876.5,1895.69,1875.45,1886.03,1886.03,2634300
2019-06-18,1901.35,1921.67,1899.79,1901.37,1901.37,3895700
2019-06-19,1907.84,1919.58,1892.47,1908.79,1908.79,2895300
2019-06-20,1933.33,1935.2,1905.8,1918.19,1918.19,3217200
