Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,153.32,155.57,152.55,153.52,153.52,15433500
2018-10-16,155.4,159.46,155.01,158.78,158.78,19180100
2018-10-17,159.56,160.49,157.95,159.42,159.42,17592000
2018-10-18,158.51,158.66,153.28,154.92,154.92,21675100
2018-10-19,155.86,157.35,153.55,154.05,154.05,19761300
2018-10-22,154.76,157.34,154.46,154.78,154.78,15424700
2018-10-23,151.22,154.77,150.85,154.39,154.39,19095000
2018-10-24,154.28,154.65,145.6,146.04,146.04,27744600
2018-10-25,147.73,152.21,147.0,150.95,150.95,22105700
2018-10-26,145.82,149.0,143.8,145.37,145.37,31303300
2018-10-29,148.5,148.83,139.03,142.09,142.09,31336800
2018-10-30,139.94,146.64,139.74,146.22,146.22,50528300
2018-10-31,155.0,156.4,148.96,151.79,151.79,60101300
2018-11-01,151.52,152.75,149.35,151.75,151.75,25640800
2018-11-02,151.8,154.13,148.96,150.35,150.35,24708700
2018-11-05,150.1,150.19,147.44,148.68,148.68,15971200
2018-11-06,149.31,150.97,148.0,149.94,149.94,16667100
2018-11-07,151.57,153.01,149.83,151.53,151.53,21877400
2018-11-08,150.49,150.94,146.74,147.87,147.87,24145800
2018-11-09,146.75,147.76,144.07,144.96,144.96,17326900
2018-11-12,144.48,145.04,140.49,141.55,141.55,18542100
2018-11-13,142.0,144.88,141.62,142.16,142.16,15141700
2018-11-14,143.7,145.58,141.55,144.22,144.22,22068400
2018-11-15,142.33,144.84,140.83,143.85,143.85,30320300
2018-11-16,141.07,141.77,137.77,139.53,139.53,37250600
2018-11-19,137.61,137.75,131.21,131.55,131.55,44362700
2018-11-20,127.03,134.16,126.85,132.43,132.43,41939500
2018-11-21,134.4,137.19,134.13,134.82,134.82,25469700
2018-11-23,133.65,134.5,131.26,131.73,131.73,11886100
2018-11-26,133.0,137.0,132.78,136.38,136.38,24263600
2018-11-27,135.75,136.61,133.71,135.0,135.0,20750300
2018-11-28,136.28,136.79,131.85,136.76,136.76,29847500
2018-11-29,135.92,139.99,135.66,138.68,138.68,24238700
2018-11-30,138.26,140.97,137.36,140.61,140.61,25732600
2018-12-03,143.0,143.68,140.76,141.09,141.09,24819200
2018-12-04,140.73,143.39,137.16,137.93,137.93,30307400
2018-12-06,133.82,139.7,133.67,139.63,139.63,28218100
2018-12-07,139.25,140.87,136.66,137.42,137.42,21195500
2018-12-10,139.6,143.05,139.01,141.85,141.85,26422200
2018-12-11,143.88,143.88,141.1,142.08,142.08,20300300
2018-12-12,143.08,147.19,142.51,144.5,144.5,23696900
2018-12-13,145.57,145.85,143.19,145.01,145.01,18148600
2018-12-14,143.34,146.01,142.51,144.06,144.06,21785800
2018-12-17,143.08,144.92,138.42,140.19,140.19,24334000
2018-12-18,141.08,145.93,139.83,143.66,143.66,24709100
2018-12-19,141.21,144.91,132.5,133.24,133.24,57404900
2018-12-20,130.7,135.57,130.0,133.4,133.4,40297900
2018-12-21,133.39,134.9,123.42,124.95,124.95,56901500
2018-12-24,123.1,129.74,123.02,124.06,124.06,22066000
2018-12-26,126.0,134.24,125.89,134.18,134.18,39723400
2018-12-27,132.44,134.99,129.67,134.52,134.52,31202500
2018-12-28,135.34,135.92,132.2,133.2,133.2,22627600
2018-12-31,134.45,134.64,129.95,131.09,131.09,24625300
2019-01-02,128.99,137.51,128.56,135.68,135.68,28146200
2019-01-03,134.69,137.17,131.12,131.74,131.74,22717900
2019-01-04,134.01,138.0,133.75,137.95,137.95,29002100
2019-01-07,137.56,138.87,135.91,138.05,138.05,20089300
2019-01-08,139.89,143.14,139.54,142.53,142.53,26263800
2019-01-09,142.95,144.7,141.27,144.23,144.23,22205900
2019-01-10,143.08,144.56,140.84,144.2,144.2,16125000
2019-01-11,143.15,145.36,142.57,143.8,143.8,12908000
2019-01-14,142.0,146.57,141.27,145.39,145.39,20520300
2019-01-15,146.01,150.68,145.99,148.95,148.95,24069000
2019-01-16,149.0,149.65,147.0,147.54,147.54,18025700
2019-01-17,146.95,149.0,146.5,148.3,148.3,15787900
2019-01-18,149.75,152.43,148.55,150.04,150.04,31029600
2019-01-22,149.2,151.53,146.37,147.57,147.57,22378700
2019-01-23,148.28,148.8,143.06,144.3,144.3,20098400
2019-01-24,144.64,146.44,142.52,145.83,145.83,20955500
2019-01-25,147.48,149.83,146.54,149.01,149.01,22237200
2019-01-28,148.05,148.96,146.21,147.47,147.47,15508500
2019-01-29,148.09,148.1,143.43,144.19,144.19,17632100
2019-01-30,146.22,150.95,145.7,150.42,150.42,44613200
2019-01-31,165.6,171.68,165.0,166.69,166.69,77233600
2019-02-01,165.84,169.1,165.66,165.71,165.71,30806500
2019-02-04,165.7,169.3,163.62,169.25,169.25,20036000
2019-02-05,169.15,171.98,168.69,171.16,171.16,22557000
2019-02-06,171.2,172.47,169.27,170.49,170.49,13281200
2019-02-07,168.2,169.24,165.25,166.38,166.38,17517600
2019-02-08,164.47,167.37,164.21,167.33,167.33,12561400
2019-02-11,167.9,168.3,165.08,165.79,165.79,12811200
2019-02-12,166.86,168.34,164.5,165.04,165.04,16292300
2019-02-13,165.38,166.22,163.73,164.07,164.07,14205100
2019-02-14,163.19,164.87,162.25,163.95,163.95,12755200
2019-02-15,164.51,164.7,160.86,162.5,162.5,15504400
2019-02-19,160.5,164.15,160.33,162.29,162.29,14345400
2019-02-20,162.25,163.72,161.25,162.56,162.56,11770700
2019-02-21,161.93,162.24,159.59,160.04,160.04,15607800
2019-02-22,160.58,162.41,160.31,161.89,161.89,15858500
2019-02-25,163.07,166.07,162.9,164.62,164.62,18737100
2019-02-26,164.34,166.24,163.8,164.13,164.13,13784100
2019-02-27,162.9,163.93,160.41,162.81,162.81,12697500
2019-02-28,162.37,163.5,160.86,161.45,161.45,11114200
2019-03-01,162.6,163.13,161.69,162.28,162.28,11097800
2019-03-04,163.9,167.5,163.83,167.37,167.37,18894700
2019-03-05,167.37,171.88,166.55,171.26,171.26,28187900
2019-03-06,172.9,173.57,171.27,172.51,172.51,21531700
2019-03-07,171.5,171.74,167.61,169.13,169.13,18306500
2019-03-08,166.2,169.62,165.97,169.6,169.6,13184800
