Date,Open,High,Low,Close,Adj Close,Volume
2019-08-19,1190.09,1206.99,1190.09,1198.45,1198.45,1231600
2019-08-20,1195.25,1196.06,1182.11,1182.69,1182.69,915500
2019-08-21,1193.15,1199.0,1187.43,1191.25,1191.25,740700
2019-08-22,1194.07,1198.01,1178.58,1189.53,1189.53,947500
2019-08-23,1181.99,1194.08,1147.75,1151.29,1151.29,1687000
2019-08-26,1157.26,1169.47,1152.96,1168.89,1168.89,1226100
2019-08-27,1180.53,1182.4,1161.45,1167.84,1167.84,1077200
2019-08-28,1161.71,1176.42,1157.3,1171.02,1171.02,802000
2019-08-29,1181.12,1196.06,1181.12,1192.85,1192.85,1088400
2019-08-30,1198.5,1198.5,1183.8,1188.1,1188.1,1129800
2019-09-03,1177.03,1186.89,1163.2,1168.39,1168.39,1479900
2019-09-04,1176.71,1183.48,1171.0,1181.41,1181.41,1068900
2019-09-05,1191.53,1213.04,1191.53,1211.38,1211.38,1408100
2019-09-06,1208.13,1212.02,1202.52,1204.93,1204.93,1072100
2019-09-09,1204.0,1220.0,1192.62,1204.41,1204.41,1471900
2019-09-10,1195.15,1210.0,1194.58,1206.0,1206.0,1260100
2019-09-11,1203.41,1222.6,1202.2,1220.17,1220.17,1307000
2019-09-12,1224.3,1241.86,1223.02,1234.25,1234.25,1725900
2019-09-13,1231.35,1240.88,1227.01,1239.56,1239.56,1301400
2019-09-16,1229.52,1239.56,1225.61,1231.3,1231.3,1053300
2019-09-17,1230.4,1235.0,1223.69,1229.15,1229.15,955100
2019-09-18,1227.51,1235.61,1216.53,1232.41,1232.41,1135100
2019-09-19,1232.06,1244.44,1232.02,1238.71,1238.71,996000
2019-09-20,1233.12,1243.32,1223.08,1229.93,1229.93,2270000
2019-09-23,1226.0,1239.09,1224.17,1234.03,1234.03,1062400
2019-09-24,1240.0,1246.74,1210.68,1218.76,1218.76,1583200
2019-09-25,1215.82,1248.3,1210.09,1246.52,1246.52,1453000
2019-09-26,1241.96,1245.0,1232.27,1241.39,1241.39,1538000
2019-09-27,1243.01,1244.02,1214.45,1225.09,1225.09,1353900
2019-09-30,1220.97,1226.0,1212.3,1219.0,1219.0,1404100
2019-10-01,1219.0,1231.23,1203.58,1205.1,1205.1,1273500
2019-10-02,1196.98,1196.98,1171.29,1176.63,1176.63,1615100
2019-10-03,1180.0,1189.06,1162.43,1187.83,1187.83,1621200
2019-10-04,1191.89,1211.44,1189.17,1209.0,1209.0,1162400
2019-10-07,1204.4,1218.2,1203.75,1207.68,1207.68,842900
2019-10-08,1197.59,1206.08,1189.01,1189.13,1189.13,1039300
2019-10-09,1199.35,1208.35,1197.63,1202.31,1202.31,867700
2019-10-10,1198.58,1215.0,1197.34,1208.67,1208.67,846600
2019-10-11,1222.21,1228.39,1213.74,1215.45,1215.45,1272700
