Date,Open,High,Low,Close,Adj Close,Volume
2019-07-31,140.33,140.49,135.08,136.27,135.82,38598800
2019-08-01,137.0,140.94,136.93,138.06,137.6,40557500
2019-08-02,138.09,138.32,135.26,136.9,136.45,30791600
2019-08-05,133.3,133.93,130.78,132.21,131.77,42749600
2019-08-06,133.8,135.68,133.21,134.69,134.24,32696700
2019-08-07,133.79,135.65,131.83,135.28,134.83,33414500
2019-08-08,136.6,138.99,135.93,138.89,138.43,27496500
2019-08-09,138.61,139.38,136.46,137.71,137.25,23466700
2019-08-12,137.07,137.86,135.24,135.79,135.34,20484300
2019-08-13,136.05,138.8,135.0,138.6,138.14,25154600
2019-08-14,136.36,136.92,133.67,133.98,133.98,32527300
2019-08-15,134.39,134.58,132.25,133.68,133.68,28074400
2019-08-16,134.88,136.46,134.72,136.13,136.13,24449100
2019-08-19,137.85,138.55,136.89,138.41,138.41,24355700
2019-08-20,138.21,138.71,137.24,137.26,137.26,21170800
2019-08-21,138.55,139.49,138.0,138.79,138.79,14970300
2019-08-22,138.66,139.2,136.29,137.78,137.78,18697000
2019-08-23,137.19,138.35,132.8,133.39,133.39,38508600
2019-08-26,134.99,135.56,133.9,135.45,135.45,20312600
2019-08-27,136.39,136.72,134.66,135.74,135.74,23102100
2019-08-28,134.88,135.76,133.55,135.56,135.56,17393300
2019-08-29,137.25,138.44,136.91,138.12,138.12,20168700
2019-08-30,139.15,139.18,136.27,137.86,137.86,23940100
2019-09-03,136.61,137.2,135.7,136.04,136.04,18869300
2019-09-04,137.3,137.69,136.48,137.63,137.63,17995900
2019-09-05,139.11,140.38,138.76,140.05,140.05,26101800
2019-09-06,140.03,140.18,138.2,139.1,139.1,20824500
2019-09-09,139.59,139.75,136.46,137.52,137.52,25773900
2019-09-10,136.8,136.89,134.51,136.08,136.08,28903400
2019-09-11,135.91,136.27,135.09,136.12,136.12,24726100
2019-09-12,137.85,138.42,136.87,137.52,137.52,27010000
2019-09-13,137.78,138.06,136.57,137.32,137.32,23363100
2019-09-16,135.83,136.7,135.66,136.33,136.33,16731400
2019-09-17,136.96,137.52,136.43,137.39,137.39,17814200
2019-09-18,137.36,138.67,136.53,138.52,138.52,23982100
2019-09-19,140.3,142.37,140.07,141.07,141.07,35772100
2019-09-20,141.01,141.65,138.25,139.44,139.44,39167300
2019-09-23,139.23,139.63,138.44,139.14,139.14,17139300
2019-09-24,140.36,140.69,136.88,137.38,137.38,29773200
2019-09-25,137.5,139.96,136.03,139.36,139.36,21382000
2019-09-26,139.44,140.18,138.44,139.54,139.54,17456600
2019-09-27,140.15,140.36,136.65,137.73,137.73,22477700
2019-09-30,138.05,139.22,137.78,139.03,139.03,17280900
2019-10-01,139.66,140.25,137.0,137.07,137.07,21466600
2019-10-02,136.25,136.37,133.58,134.65,134.65,30521700
2019-10-03,134.95,136.75,133.22,136.28,136.28,24132900
2019-10-04,136.75,138.25,136.42,138.12,138.12,22897700
2019-10-07,137.14,138.18,137.02,137.12,137.12,15303700
2019-10-08,137.08,137.76,135.62,135.67,135.67,25550500
2019-10-09,137.46,138.7,136.97,138.24,138.24,19749900
2019-10-10,138.49,139.67,138.25,139.1,139.1,17654600
2019-10-11,140.12,141.03,139.5,139.68,139.68,25446000
