Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,110.58,111.09,109.32,110.48,108.05,5019100
2019-01-02,109.15,110.02,108.23,109.28,106.87,4835400
2019-01-03,108.91,110.15,108.05,108.26,105.88,5975900
2019-01-04,109.54,110.6,108.24,110.48,108.05,6293900
2019-01-07,110.01,110.38,108.65,109.53,107.12,5220300
2019-01-08,110.14,110.8,109.42,110.58,108.15,6407700
2019-01-09,110.33,110.87,107.49,107.49,105.12,8521300
2019-01-10,107.41,108.34,107.36,108.15,105.77,7905000
2019-01-11,107.86,108.5,107.64,108.16,105.78,5939000
2019-01-14,107.85,107.96,106.96,107.32,104.96,5804600
2019-01-15,107.46,109.07,106.73,108.99,106.59,4508000
2019-01-16,108.99,109.05,107.7,108.34,105.96,4953500
2019-01-17,108.14,109.47,108.09,109.22,106.82,4612200
2019-01-18,109.97,110.3,109.17,110.07,107.65,5142700
2019-01-22,109.86,110.23,108.78,109.91,107.49,5298200
2019-01-23,109.68,110.79,109.51,110.73,108.29,5197400
2019-01-24,110.31,110.31,108.41,109.5,107.09,4478000
2019-01-25,110.15,110.59,109.04,109.35,106.94,5074800
2019-01-28,108.96,109.6,108.0,108.82,106.42,4055900
2019-01-29,108.93,109.62,108.51,109.0,106.6,4301500
2019-01-30,108.94,111.24,108.54,110.82,108.38,5023800
2019-01-31,110.97,112.9,110.21,112.67,110.19,6183400
2019-02-01,112.95,113.28,111.45,112.19,109.72,5010500
2019-02-04,112.21,113.4,111.85,113.09,110.6,3665000
2019-02-05,113.03,113.54,112.49,112.9,110.41,4593400
2019-02-06,113.41,113.58,112.3,113.05,110.56,4209400
2019-02-07,112.82,113.16,112.16,113.09,110.6,4227700
2019-02-08,112.93,113.04,111.93,113.02,110.53,3868300
2019-02-11,113.16,113.58,112.64,112.97,110.48,4851100
2019-02-12,113.23,114.5,112.22,113.79,111.29,6765300
2019-02-13,114.11,114.73,113.63,114.12,111.61,5528000
2019-02-14,113.0,113.0,111.88,112.59,110.11,6359200
2019-02-15,115.85,116.28,114.11,115.91,113.36,8889500
2019-02-19,116.8,116.97,115.2,115.93,113.38,5596100
2019-02-20,115.75,116.64,115.41,115.83,113.28,6038900
2019-02-21,115.5,116.93,115.47,116.1,113.54,4825900
2019-02-22,116.11,116.77,115.59,116.76,114.19,4865400
2019-02-25,117.17,117.3,115.71,116.06,113.51,3755900
2019-02-26,116.37,116.5,115.43,115.97,113.42,4074600
2019-02-27,115.54,115.7,114.41,115.37,112.83,4175100
2019-02-28,114.74,116.22,114.21,115.64,114.01,5586300
2019-03-01,115.86,116.37,115.23,116.18,114.54,3629100
2019-03-04,116.55,116.93,115.5,116.17,114.53,4383100
2019-03-05,115.98,116.82,115.66,116.03,114.4,3785400
2019-03-06,115.78,116.83,115.58,116.66,115.02,4770700
2019-03-07,116.21,117.33,115.7,116.1,114.47,4858300
2019-03-08,115.83,116.26,114.26,115.23,113.61,5003300
2019-03-11,115.3,116.71,114.98,116.59,114.95,4821600
2019-03-12,116.75,117.21,116.01,116.57,114.93,4356400
2019-03-13,116.88,117.56,116.46,116.58,114.94,5968600
2019-03-14,116.86,116.98,115.45,115.5,113.87,8986600
2019-03-15,115.68,116.53,115.37,115.66,114.03,18194200
2019-03-18,116.17,117.39,116.05,117.27,115.62,9476000
2019-03-19,117.36,118.75,117.25,118.09,116.43,6751700
2019-03-20,118.07,119.48,117.35,118.32,116.65,5733500
2019-03-21,118.01,119.67,118.01,119.44,117.76,4305600
2019-03-22,119.5,121.29,119.45,120.72,119.02,6668100
2019-03-25,120.26,121.29,120.08,120.85,119.15,4275400
2019-03-26,121.46,122.16,121.26,122.02,120.3,4583000
2019-03-27,122.46,123.19,121.19,121.89,120.17,5318500
2019-03-28,121.89,122.47,121.59,121.84,120.12,3694700
2019-03-29,122.29,122.76,121.27,122.55,120.82,5758800
2019-04-01,122.59,122.89,121.59,122.0,120.28,5025700
2019-04-02,121.9,122.26,121.56,121.68,119.97,3242600
2019-04-03,121.68,122.23,120.74,121.56,119.85,4534400
2019-04-04,121.81,122.13,121.17,121.47,119.76,3022500
2019-04-05,121.35,121.67,120.82,121.62,119.91,3971500
2019-04-08,121.72,122.04,121.21,122.0,120.28,3140100
2019-04-09,121.74,122.2,120.85,122.17,120.45,3864400
2019-04-10,122.35,122.7,121.66,122.04,120.32,2681100
2019-04-11,122.36,122.75,121.17,121.67,119.96,3399700
2019-04-12,121.53,122.33,121.15,122.23,120.51,3501100
2019-04-15,122.44,124.0,122.36,123.66,121.92,4419800
2019-04-16,123.22,123.82,121.89,122.41,120.69,5263700
2019-04-17,125.0,127.11,123.84,127.01,125.22,7318200
2019-04-18,128.23,128.26,126.73,127.09,125.3,6331200
2019-04-22,126.77,127.24,125.88,126.44,124.66,3707000
2019-04-23,126.68,127.54,126.12,127.09,125.3,4464100
2019-04-24,127.41,127.98,126.67,126.92,125.13,3517200
2019-04-25,125.65,126.4,125.18,126.13,124.35,4433700
2019-04-26,126.52,127.25,126.12,126.4,124.62,3033800
2019-04-29,126.14,126.96,126.02,126.69,124.91,2793400
2019-04-30,127.05,128.39,126.34,128.05,126.25,4963600
2019-05-01,127.85,128.0,127.01,127.24,125.45,3810800
2019-05-02,127.24,127.55,126.17,126.83,125.04,2875900
2019-05-03,127.1,128.18,126.92,127.67,125.87,2854900
2019-05-06,127.3,127.63,126.76,127.27,125.48,2883900
2019-05-07,126.64,126.95,125.18,125.98,124.21,3558900
2019-05-08,125.8,126.74,124.95,126.02,124.25,3844700
2019-05-09,125.77,126.54,124.85,126.05,124.28,3127200
2019-05-10,126.14,128.28,125.62,128.01,126.21,3720400
2019-05-13,127.02,127.94,126.63,127.16,125.37,4297200
2019-05-14,127.56,128.51,127.29,127.41,125.62,5150300
2019-05-15,127.1,129.87,127.1,129.35,127.53,3751900
2019-05-16,129.37,130.75,128.76,130.27,128.44,4812900
2019-05-17,129.92,130.87,129.65,130.51,128.67,4011700
2019-05-20,130.04,130.45,129.55,129.99,128.16,3965600
2019-05-21,130.58,130.58,128.85,129.05,127.23,4080800
2019-05-22,129.1,130.64,128.95,130.07,128.24,3588000
2019-05-23,129.6,130.9,129.51,129.97,128.14,3901400
2019-05-24,130.33,130.48,128.96,129.5,127.68,2702700
2019-05-28,129.5,129.9,127.36,127.63,125.83,8806000
2019-05-29,127.58,128.31,126.84,128.17,126.37,5502700
2019-05-30,128.15,128.91,127.78,128.61,126.8,2710300
2019-05-31,128.0,128.45,126.99,128.0,126.2,4191200
2019-06-03,127.86,129.16,127.49,128.98,127.16,3588700
2019-06-04,129.75,129.81,128.02,129.07,127.25,4242400
2019-06-05,129.22,131.6,128.86,131.39,129.54,5084200
2019-06-06,131.08,132.27,130.56,131.98,131.07,5528000
2019-06-07,132.84,134.71,132.59,133.47,132.55,6332700
2019-06-10,133.18,133.68,132.36,133.59,132.67,2957900
2019-06-11,134.06,134.34,132.69,133.2,132.29,3553600
2019-06-12,134.01,134.44,132.66,133.14,132.23,3302800
2019-06-13,133.45,133.79,131.85,132.94,132.03,2851400
2019-06-14,133.01,133.54,132.56,132.73,131.82,3291800
2019-06-17,132.72,133.24,131.89,132.52,131.61,2725800
