Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,99.3,99.79,98.52,98.59,94.82,10150500
2018-01-03,98.85,100.0,98.77,99.45,95.64,8903600
2018-01-04,99.54,99.78,98.91,99.54,95.73,6830400
2018-01-05,99.64,100.38,99.61,100.13,96.3,7284000
2018-01-08,100.25,101.75,100.21,101.61,97.72,8843900
2018-01-09,102.03,102.35,100.31,100.39,96.55,7312700
2018-01-10,99.75,99.89,98.53,99.67,95.85,7930400
2018-01-11,99.7,100.45,98.78,100.02,96.19,6537700
2018-01-12,100.39,101.44,100.3,100.87,97.01,6951200
2018-01-16,101.34,101.91,100.34,100.69,96.84,7170700
2018-01-17,101.15,102.94,100.7,102.7,98.77,8681900
2018-01-18,104.74,104.94,103.62,104.3,100.31,12307900
2018-01-19,104.64,104.93,103.66,104.59,100.59,8378600
2018-01-22,104.5,105.45,104.04,105.45,101.41,7308300
2018-01-23,105.29,106.15,104.57,105.9,101.85,8287800
2018-01-24,106.35,106.44,104.82,105.79,101.74,6823100
2018-01-25,105.85,106.81,105.85,106.6,102.52,5857100
2018-01-26,107.0,108.41,106.68,108.39,104.24,6786300
2018-01-29,108.11,109.98,107.99,109.55,105.36,8355200
2018-01-30,109.14,109.36,107.15,107.73,103.61,9180500
2018-01-31,107.77,108.18,106.07,106.6,102.52,9812800
2018-02-01,105.96,106.56,105.18,105.52,101.48,6386800
2018-02-02,105.15,106.47,104.15,104.48,100.48,9253100
2018-02-05,103.4,104.61,97.09,100.09,96.26,12561600
2018-02-06,97.64,101.08,97.25,100.9,97.04,16413800
2018-02-07,100.5,104.59,100.01,102.85,98.91,11165200
2018-02-08,103.23,103.48,100.0,100.02,96.19,13975100
2018-02-09,100.53,101.1,96.43,99.37,95.57,14184600
2018-02-12,100.13,100.45,98.8,99.55,95.74,9135100
2018-02-13,99.33,101.22,99.33,100.98,97.11,6622800
2018-02-14,100.86,102.25,100.21,101.7,97.81,7307600
2018-02-15,102.55,103.64,101.83,103.23,99.28,7494900
2018-02-16,103.09,104.94,101.98,104.78,100.77,16064300
2018-02-20,96.99,97.94,94.1,94.11,90.51,52088500
2018-02-21,95.11,95.34,91.24,91.52,88.02,49503700
2018-02-22,91.43,93.39,91.31,92.77,89.22,20365000
2018-02-23,92.88,93.49,91.76,92.89,89.33,12791500
2018-02-26,92.9,93.8,92.22,93.12,89.56,14699300
2018-02-27,93.63,93.72,91.51,91.52,88.02,13376100
2018-02-28,92.0,92.1,90.0,90.01,86.56,14143700
2018-03-01,90.17,90.18,87.71,89.08,85.67,18909600
2018-03-02,87.27,88.9,87.24,88.77,85.37,19043400
2018-03-05,88.14,90.5,88.07,89.98,86.54,13383200
2018-03-06,90.35,90.5,88.63,89.06,85.65,11054700
2018-03-07,87.98,88.53,87.34,87.74,84.38,11453000
2018-03-08,87.77,88.13,87.34,87.92,85.06,9588700
2018-03-09,88.24,88.72,87.53,88.72,85.83,9754400
2018-03-12,88.7,89.44,87.88,88.07,85.2,8474000
2018-03-13,88.39,88.9,87.98,88.3,85.43,7173000
2018-03-14,88.51,88.99,87.5,87.67,84.82,11040600
2018-03-15,87.68,88.79,85.9,87.51,84.66,16615200
2018-03-16,87.72,90.09,87.5,89.17,86.27,28396000
2018-03-19,88.91,89.08,87.1,87.45,84.6,12053400
2018-03-20,87.86,88.15,87.37,87.95,85.09,8258000
2018-03-21,87.89,89.68,87.68,88.18,85.31,11836000
2018-03-22,87.53,88.27,86.99,87.14,84.3,12248200
2018-03-23,87.35,87.69,85.28,85.42,82.64,10125100
2018-03-26,86.22,87.69,86.11,87.5,84.65,9199800
2018-03-27,87.96,88.04,85.48,86.05,83.25,6545800
2018-03-28,86.26,88.24,86.19,87.77,84.91,11576300
2018-03-29,87.9,89.34,87.77,88.97,86.07,9274600
2018-04-02,88.0,88.24,84.84,85.55,82.77,19128900
2018-04-03,86.25,86.95,85.55,86.8,83.97,9695500
2018-04-04,85.6,87.5,85.44,87.22,84.38,6536600
2018-04-05,87.6,88.35,87.05,87.81,84.95,6380900
2018-04-06,86.83,87.9,86.13,86.69,83.87,6350000
2018-04-09,86.85,87.45,86.24,86.28,83.47,8368100
2018-04-10,86.84,87.1,85.66,86.45,83.64,9127400
2018-04-11,86.0,86.86,85.8,85.91,83.11,6279000
2018-04-12,86.19,86.83,85.41,85.43,82.65,6856300
2018-04-13,85.89,86.27,85.19,86.02,83.22,7559200
